key,category,mention_count,assessment,local_entry_type,local_title,local_year,local_venue,resolved_source,resolved_title,resolved_year,resolved_venue,resolved_doi,title_match_score,bibtex_source,paper_status,paper_path,notes,mention_lines,mention_snippets
batatia2022mace,related-work,1,good,inproceedings,{MACE}: Higher Order Equivariant Message Passing Neural Networks for Fast and Accurate Force Fields,2022,Advances in Neural Information Processing Systems (NeurIPS),openalex,MACE: Higher Order Equivariant Message Passing Neural Networks for Fast and Accurate Force Fields,2022,,10.52202/068431-0830,1.0,remote-doi,link-only,citation_audit/papers/batatia2022mace.link.txt,Saved landing link only; no open PDF downloaded.,739,MACE~\citep{batatia2022mace} use iterated Clebsch--Gordan products
bejnordi2017camelyon,dataset,1,good,article,Diagnostic Assessment of Deep Learning Algorithms for Detection of Lymph Node Metastases in Women With Breast Cancer,2017,JAMA,openalex,Diagnostic Assessment of Deep Learning Algorithms for Detection of Lymph Node Metastases in Women With Breast Cancer,2017,JAMA,10.1001/jama.2017.14585,1.0,remote-doi,link-only,citation_audit/papers/bejnordi2017camelyon.link.txt,Saved landing link only; no open PDF downloaded.,2336,images of lymph node sections~\citep{bejnordi2017camelyon}. We use
bendory2025orbit,theory,1,acceptable-but-weaker,article,Orbit Recovery for Spherical Functions,2025,arXiv preprint arXiv:2508.02674,arxiv,Orbit Recovery for Spherical Functions,2025,arXiv preprint arXiv:2508.02674,,1.0,local-fallback,downloaded,citation_audit/papers/bendory2025orbit.pdf,Preprint citation; archival version may be preferable if one exists. | No DOI found. | Open PDF downloaded.,1699,Bendory et al.~\citep{bendory2025orbit}
bonev2023spherical,theory,2,good,inproceedings,Spherical {F}ourier Neural Operators: Learning Stable Dynamics on the Sphere,2023,International Conference on Machine Learning (ICML),manual,Spherical Fourier Neural Operators: Learning Stable Dynamics on the Sphere,2023,Proceedings of the 40th International Conference on Machine Learning,,1.0,local-fallback,downloaded,citation_audit/papers/bonev2023spherical.pdf,No DOI found. | Open PDF downloaded.,"258,466",\texttt{torch\_harmonics}~\citep{bonev2023spherical} || transform (via \texttt{torch\_harmonics}~\citep{bonev2023spherical}).
cesa2022program,theory,2,good,inproceedings,A Program to Build {E(N)}-Equivariant Steerable {CNN}s,2022,International Conference on Learning Representations (ICLR),manual,A Program to Build E(N)-Equivariant Steerable CNNs,2022,International Conference on Learning Representations,,1.0,local-fallback,link-only,citation_audit/papers/cesa2022program.link.txt,No DOI found. | Saved landing link only; no open PDF downloaded.,"717,808",\texttt{escnn}~\citep{cesa2022program} and \texttt{e3nn}~\citep{geiger2022e3nn} || band-limits; integration with \texttt{escnn}~\citep{cesa2022program} and
chevalley2024bispectral,related-work,1,good,inproceedings,A Bispectral {3D} {U-Net} for Rotation Robustness in Medical Segmentation,2024,Topology- and Graph-Informed Imaging Informatics,openalex,A Bispectral 3D U-Net for Rotation Robustness in Medical Segmentation,2024,Lecture notes in computer science,10.1007/978-3-031-73967-5_5,1.0,remote-doi,link-only,citation_audit/papers/chevalley2024bispectral.link.txt,Saved landing link only; no open PDF downloaded.,733,\citet{chevalley2024bispectral} explore bispectral signatures for data
cohen2016group,theory,2,good,inproceedings,Group Equivariant Convolutional Networks,2016,International Conference on Machine Learning (ICML),openalex,Group Equivariant Convolutional Networks,2016,arXiv (Cornell University),10.48550/arxiv.1602.07576,1.0,remote-doi,downloaded,citation_audit/papers/cohen2016group.pdf,Open PDF downloaded.,"111,179","Equivariant neural networks~\citep{cohen2016group, weiler2019general} enforce || for all $g \in G$~\citep{cohen2016group, weiler2019general}."
cohen2018spherical,experimental,5,good,inproceedings,Spherical {CNN}s,2018,International Conference on Learning Representations (ICLR),openalex,Spherical CNNs,2018,arXiv (Cornell University),,1.0,local-fallback,downloaded,citation_audit/papers/cohen2018spherical.pdf,No DOI found. | Open PDF downloaded.,"615,637,650,707,2353","2-sphere---on Spherical MNIST~\cite{cohen2018spherical}, the standard || Following Cohen et al.~\cite{cohen2018spherical}, we evaluate under three || et al.\ reference numbers are from \cite{cohen2018spherical}. || Cohen's spherical CNN~\cite{cohen2018spherical} reaches 96\%/95\%/94\% || projection following \citet{cohen2018spherical} and sampled on a"
edidin2024orbit,theory,1,good,article,Orbit Recovery for Band-Limited Functions,2024,SIAM Journal on Applied Algebra and Geometry,openalex,Orbit Recovery for Band-Limited Functions,2024,SIAM Journal on Applied Algebra and Geometry,10.1137/23m1577808,1.0,remote-doi,downloaded,citation_audit/papers/edidin2024orbit.pdf,Open PDF downloaded.,1696,Edidin \& Satriano~\citep{edidin2024orbit}
esteves2018spherical,related-work,1,good,inproceedings,Learning {SO}(3) Equivariant Representations with Spherical {CNN}s,2018,European Conference on Computer Vision (ECCV),openalex,Learning SO(3) Equivariant Representations with Spherical CNNs,2018,Lecture notes in computer science,10.1007/978-3-030-01261-8_4,1.0,remote-doi,link-only,citation_audit/papers/esteves2018spherical.link.txt,Saved landing link only; no open PDF downloaded.,752,\citet{esteves2018spherical} extend this to the sphere. Unlike the
geiger2022e3nn,theory,2,acceptable-but-weaker,article,e3nn: {E}uclidean Neural Networks,2022,arXiv preprint arXiv:2207.09453,arxiv,e3nn: Euclidean Neural Networks,2022,arXiv preprint arXiv:2207.09453,,1.0,local-fallback,downloaded,citation_audit/papers/geiger2022e3nn.pdf,Preprint citation; archival version may be preferable if one exists. | No DOI found. | Open PDF downloaded.,"717,809",\texttt{escnn}~\citep{cesa2022program} and \texttt{e3nn}~\citep{geiger2022e3nn} || \texttt{e3nn}~\citep{geiger2022e3nn}; and applications to cryo-EM
harris2020numpy,software,1,good,article,Array programming with {NumPy},2020,Nature,openalex,Array programming with NumPy,2020,Nature,10.1038/s41586-020-2649-2,1.0,remote-doi,downloaded,citation_audit/papers/harris2020numpy.pdf,Open PDF downloaded.,257,"NumPy~\citep{harris2020numpy}, and"
huang2017densenet,experimental,2,good,inproceedings,Densely Connected Convolutional Networks,2017,IEEE Conference on Computer Vision and Pattern Recognition (CVPR),openalex,Densely Connected Convolutional Networks,2017,,10.1109/cvpr.2017.243,1.0,remote-doi,link-only,citation_audit/papers/huang2017densenet.link.txt,Saved landing link only; no open PDF downloaded.,"492,2143",$C_8$-equivariant DenseNet~\citep{huang2017densenet} backbone following || DenseNet~\citep{huang2017densenet} backbone with block configuration
